frame depth mprob bprob
0 0.4808 0.7310 0.0000
1 0.6366 0.1429 0.0000
2 0.7726 0.0098 0.0001
3 0.8742 0.0020 0.0001
4 0.9392 0.0002 0.0001
5 0.9746 0.0026 0.0020
6 0.9912 0.0001 0.0030
7 0.9978 0.0001 0.0022
8 1.0000 0.0000 0.0002
9 1.0000 0.0000 0.0003
10 1.0000 0.0034 0.0001
11 1.0000 0.0000 0.0001
12 1.0000 0.0000 0.0000
13 1.0000 0.0000 0.0000
14 1.0000 0.0000 0.0000
15 1.0000 0.0000 0.0000
16 1.0000 0.0000 0.0000
17 1.0000 0.0000 0.0000
18 1.0000 0.0000 0.0000
19 1.0000 0.0000 0.0000
20 1.0000 0.0000 0.0000
21 1.0000 0.0000 0.0000
22 1.0000 0.0000 0.0000
23 1.0000 0.0000 0.0000
24 1.0000 0.0000 0.0000
25 1.0000 0.0000 0.0000
26 1.0000 0.0000 0.0000
27 1.0000 0.0000 0.0000
28 1.0000 0.0000 0.0000
29 1.0000 0.0000 0.0000
30 1.0000 0.0000 0.0000
31 1.0000 0.0000 0.0000
32 1.0000 0.0000 0.0000
33 1.0000 0.0000 0.0000
34 1.0000 0.0000 0.0000
35 1.0000 0.0000 0.0000
36 1.0000 0.0000 0.0000
37 1.0000 0.0000 0.0000
38 1.0000 0.0000 0.0000
39 1.0000 0.0000 0.0000
40 1.0000 0.0000 0.0000
41 1.0000 0.0000 0.0000
42 1.0000 0.0000 0.0000
43 1.0000 0.0000 0.0000
44 1.0000 0.0000 0.0000
45 1.0000 0.0000 0.0000
46 1.0000 0.0000 0.0000
47 1.0000 0.0000 0.0000
48 1.0000 0.0000 0.0000
49 1.0000 0.0000 0.0000
50 1.0000 0.0000 0.0002
51 1.0000 0.0000 0.0002
52 1.0000 0.0000 0.0002
53 1.0000 0.0000 0.0000
54 1.0000 0.0000 0.0000
55 1.0000 0.0000 0.0000
56 1.0000 0.0000 0.0080
57 1.0000 0.0000 0.0264
58 1.0000 0.0000 0.0148
59 1.0000 0.0000 0.0378
60 0.9996 0.0000 0.3224
61 0.9984 0.0000 0.8182
62 0.9953 0.0000 0.9456
63 0.9865 0.0000 0.9850
64 0.9680 0.0000 0.9951
65 0.9332 0.0000 0.9888
66 0.8743 0.0000 0.9607
67 0.7854 0.0000 0.8926
68 0.6663 0.0000 0.7390
69 0.5253 0.0000 0.0669
70 0.3791 0.0000 0.0204
71 0.2469 0.0000 0.0042
72 0.1434 0.0001 0.0016
73 0.0734 0.0014 0.0007
74 0.0327 0.0075 0.0001
75 0.0124 0.0021 0.0001
76 0.0037 0.0008 0.0000
77 0.0006 0.0028 0.0000
78 0.0000 0.0077 0.0000
79 0.0000 0.0039 0.0000
80 0.0000 0.0085 0.0000
81 0.0000 0.0015 0.0000
82 0.0000 0.0008 0.0000
83 0.0000 0.0003 0.0000
84 0.0000 0.0001 0.0000
85 0.0000 0.0002 0.0000
86 0.0000 0.0001 0.0000
87 0.0000 0.0001 0.0000
88 0.0000 0.0000 0.0000
89 0.0000 0.0000 0.0000
90 0.0000 0.0000 0.0000
91 0.0000 0.0000 0.0000
92 0.0000 0.0000 0.0000
93 0.0000 0.0000 0.0000
94 0.0000 0.0000 0.0000
95 0.0000 0.0000 0.0000
96 0.0000 0.0000 0.0000
97 0.0000 0.0000 0.0000
98 0.0000 0.0000 0.0000
99 0.0000 0.0000 0.0000
100 0.0000 0.0000 0.0000
101 0.0000 0.0000 0.0000
102 0.0000 0.0000 0.0000
103 0.0000 0.0000 0.0000
104 0.0000 0.0000 0.0000
105 0.0000 0.0000 0.0000
106 0.0000 0.0000 0.0000
107 0.0000 0.0000 0.0000
108 0.0000 0.0000 0.0000
109 0.0000 0.0000 0.0000
110 0.0000 0.0000 0.0000
111 0.0000 0.0000 0.0000
112 0.0000 0.0000 0.0000
113 0.0000 0.0000 0.0000
114 0.0000 0.0006 0.0000
115 0.0000 0.0014 0.0000
116 0.0000 0.0172 0.0000
117 0.0000 0.1620 0.0000
118 0.0002 0.4307 0.0000
119 0.0010 0.6324 0.0000
120 0.0038 0.8682 0.0000
121 0.0121 0.9588 0.0000
122 0.0308 0.9848 0.0000
123 0.0680 0.9930 0.0000
124 0.1327 0.9849 0.0000
125 0.2314 0.9501 0.0000
126 0.3622 0.8703 0.0000
127 0.5126 0.5284 0.0000
