frame depth mprob bprob
0 0.0137 0.9827 0.0000
1 0.0287 0.9886 0.0000
2 0.0532 0.9896 0.0000
3 0.0889 0.9775 0.0000
4 0.1355 0.8789 0.0000
5 0.1907 0.5905 0.0000
6 0.2516 0.2136 0.0000
7 0.3154 0.0588 0.0000
8 0.3803 0.0196 0.0001
9 0.4459 0.0168 0.0001
10 0.5115 0.0134 0.0000
11 0.5767 0.0102 0.0000
12 0.6402 0.0015 0.0000
13 0.7006 0.0003 0.0001
14 0.7560 0.0003 0.0001
15 0.8048 0.0002 0.0001
16 0.8457 0.0001 0.0001
17 0.8784 0.0001 0.0002
18 0.9033 0.0001 0.0002
19 0.9221 0.0001 0.0002
20 0.9363 0.0001 0.0001
21 0.9476 0.0000 0.0001
22 0.9572 0.0000 0.0001
23 0.9657 0.0000 0.0001
24 0.9736 0.0000 0.0061
25 0.9807 0.0000 0.0001
26 0.9868 0.0000 0.0006
27 0.9916 0.0000 0.0041
28 0.9952 0.0000 0.0000
29 0.9975 0.0000 0.0000
30 0.9989 0.0000 0.0000
31 0.9995 0.0000 0.0000
32 0.9998 0.0000 0.0016
33 1.0000 0.0000 0.0000
34 1.0000 0.0000 0.0000
35 1.0000 0.0000 0.0000
36 1.0000 0.0000 0.0000
37 1.0000 0.0000 0.0000
38 1.0000 0.0000 0.0000
39 1.0000 0.0000 0.0000
40 1.0000 0.0000 0.0000
41 1.0000 0.0000 0.0000
42 1.0000 0.0000 0.0000
43 1.0000 0.0000 0.0000
44 1.0000 0.0000 0.0000
45 1.0000 0.0000 0.0000
46 1.0000 0.0000 0.0000
47 1.0000 0.0000 0.0000
48 1.0000 0.0000 0.0000
49 1.0000 0.0000 0.0000
50 1.0000 0.0000 0.0000
51 1.0000 0.0000 0.0000
52 1.0000 0.0000 0.0000
53 1.0000 0.0000 0.0000
54 1.0000 0.0000 0.0000
55 1.0000 0.0000 0.0000
56 1.0000 0.0000 0.0000
57 0.9999 0.0000 0.0021
58 0.9997 0.0000 0.0125
59 0.9991 0.0000 0.0304
60 0.9979 0.0000 0.0818
61 0.9954 0.0000 0.4693
62 0.9910 0.0000 0.8976
63 0.9834 0.0000 0.9783
64 0.9712 0.0000 0.9942
65 0.9513 0.0000 0.9921
66 0.9202 0.0000 0.9763
67 0.8737 0.0000 0.9195
68 0.8077 0.0000 0.6446
69 0.7193 0.0000 0.3937
70 0.6094 0.0000 0.1665
71 0.4843 0.0000 0.0315
72 0.3558 0.0000 0.0064
73 0.2383 0.0000 0.0079
74 0.1436 0.0001 0.0002
75 0.0770 0.0001 0.0001
76 0.0363 0.0001 0.0001
77 0.0148 0.0001 0.0001
78 0.0050 0.0024 0.0001
79 0.0012 0.0036 0.0000
80 0.0001 0.0055 0.0000
81 0.0000 0.0040 0.0000
82 0.0000 0.0053 0.0000
83 0.0000 0.0027 0.0000
84 0.0000 0.0004 0.0000
85 0.0000 0.0003 0.0000
86 0.0000 0.0002 0.0000
87 0.0000 0.0001 0.0000
88 0.0000 0.0001 0.0000
89 0.0000 0.0001 0.0000
90 0.0000 0.0000 0.0000
91 0.0000 0.0000 0.0000
92 0.0000 0.0000 0.0000
93 0.0000 0.0000 0.0000
94 0.0000 0.0000 0.0000
95 0.0000 0.0000 0.0000
96 0.0000 0.0000 0.0000
97 0.0000 0.0000 0.0000
98 0.0000 0.0000 0.0000
99 0.0000 0.0000 0.0000
100 0.0000 0.0000 0.0000
101 0.0000 0.0000 0.0000
102 0.0000 0.0000 0.0000
103 0.0000 0.0000 0.0000
104 0.0000 0.0000 0.0000
105 0.0000 0.0000 0.0000
106 0.0000 0.0000 0.0000
107 0.0000 0.0000 0.0000
108 0.0000 0.0000 0.0000
109 0.0000 0.0000 0.0000
110 0.0000 0.0000 0.0000
111 0.0000 0.0000 0.0000
112 0.0000 0.0000 0.0000
113 0.0000 0.0000 0.0000
114 0.0000 0.0000 0.0000
115 0.0000 0.0000 0.0000
116 0.0000 0.0000 0.0000
117 0.0000 0.0000 0.0000
118 0.0000 0.0000 0.0000
119 0.0000 0.0000 0.0000
120 0.0000 0.0000 0.0000
121 0.0000 0.0000 0.0000
122 0.0000 0.0000 0.0000
123 0.0000 0.0000 0.0000
124 0.0000 0.0025 0.0000
125 0.0000 0.0000 0.0000
126 0.0000 0.0000 0.0000
127 0.0000 0.0000 0.0000
