frame depth mprob bprob
0 1.0000 0.0000 0.0136
1 1.0000 0.0000 0.0207
2 0.9997 0.0000 0.1082
3 0.9987 0.0000 0.5352
4 0.9959 0.0000 0.8246
5 0.9895 0.0000 0.9671
6 0.9769 0.0000 0.9930
7 0.9548 0.0000 0.9953
8 0.9205 0.0000 0.9867
9 0.8720 0.0000 0.9340
10 0.8093 0.0000 0.7694
11 0.7330 0.0000 0.4084
12 0.6438 0.0000 0.1450
13 0.5434 0.0000 0.0476
14 0.4351 0.0000 0.0131
15 0.3257 0.0000 0.0015
16 0.2245 0.0000 0.0003
17 0.1405 0.0000 0.0002
18 0.0788 0.0001 0.0001
19 0.0392 0.0000 0.0001
20 0.0170 0.0002 0.0001
21 0.0063 0.0026 0.0000
22 0.0018 0.0138 0.0000
23 0.0003 0.0113 0.0000
24 0.0000 0.0112 0.0005
25 0.0000 0.0120 0.0023
26 0.0000 0.0112 0.0000
27 0.0000 0.0010 0.0000
28 0.0000 0.0001 0.0000
29 0.0000 0.0000 0.0000
30 0.0000 0.0000 0.0000
31 0.0000 0.0000 0.0000
32 0.0000 0.0000 0.0000
33 0.0000 0.0000 0.0000
34 0.0000 0.0007 0.0000
35 0.0000 0.0071 0.0000
36 0.0000 0.0145 0.0000
37 0.0000 0.2496 0.0000
38 0.0000 0.7609 0.0000
39 0.0002 0.6983 0.0000
40 0.0011 0.8386 0.0000
41 0.0036 0.9565 0.0000
42 0.0098 0.9755 0.0000
43 0.0226 0.9791 0.0000
44 0.0461 0.9803 0.0000
45 0.0841 0.9484 0.0000
46 0.1392 0.8798 0.0000
47 0.2124 0.7382 0.0000
48 0.3030 0.3319 0.0000
49 0.4090 0.0410 0.0052
50 0.5257 0.0181 0.0101
51 0.6449 0.0111 0.0088
52 0.7556 0.0023 0.0049
53 0.8475 0.0106 0.0051
54 0.9149 0.0125 0.0030
55 0.9579 0.0181 0.0007
56 0.9819 0.0089 0.0015
57 0.9934 0.0020 0.0155
58 0.9981 0.0014 0.0840
59 0.9997 0.0026 0.0719
60 1.0000 0.0000 0.0255
61 1.0000 0.0000 0.0308
62 1.0000 0.0027 0.0272
63 1.0000 0.0000 0.0342
64 0.9998 0.0000 0.1461
65 0.9991 0.0001 0.4692
66 0.9971 0.0003 0.7993
67 0.9924 0.0000 0.9447
68 0.9828 0.0000 0.9832
69 0.9655 0.0000 0.9924
70 0.9376 0.0000 0.9856
71 0.8965 0.0000 0.9411
72 0.8407 0.0000 0.8387
73 0.7695 0.0000 0.5589
74 0.6822 0.0000 0.3946
75 0.5800 0.0000 0.1124
76 0.4666 0.0000 0.0198
77 0.3500 0.0000 0.0125
78 0.2411 0.0000 0.0014
79 0.1506 0.0000 0.0002
80 0.0841 0.0001 0.0001
81 0.0416 0.0074 0.0005
82 0.0179 0.0001 0.0000
83 0.0065 0.0023 0.0000
84 0.0019 0.0107 0.0000
85 0.0003 0.0098 0.0000
86 0.0000 0.0151 0.0000
87 0.0000 0.0111 0.0000
88 0.0000 0.0163 0.0000
89 0.0000 0.0009 0.0000
90 0.0000 0.0003 0.0000
91 0.0000 0.0002 0.0000
92 0.0000 0.0001 0.0000
93 0.0000 0.0000 0.0000
94 0.0000 0.0001 0.0000
95 0.0000 0.0001 0.0000
96 0.0000 0.0000 0.0000
97 0.0000 0.0000 0.0000
98 0.0000 0.0000 0.0000
99 0.0000 0.0000 0.0000
100 0.0000 0.0000 0.0000
101 0.0000 0.0000 0.0000
102 0.0000 0.0000 0.0000
103 0.0000 0.0000 0.0000
104 0.0000 0.0000 0.0000
105 0.0000 0.0000 0.0000
106 0.0000 0.0000 0.0000
107 0.0000 0.0000 0.0000
108 0.0000 0.0000 0.0000
109 0.0000 0.0000 0.0000
110 0.0000 0.0000 0.0000
111 0.0000 0.0000 0.0000
112 0.0000 0.0000 0.0000
113 0.0000 0.0000 0.0000
114 0.0000 0.0000 0.0000
115 0.0000 0.0000 0.0000
116 0.0000 0.0000 0.0000
117 0.0000 0.0000 0.0000
118 0.0000 0.0000 0.0000
119 0.0000 0.0000 0.0000
120 0.0000 0.0000 0.0000
121 0.0000 0.0007 0.0000
122 0.0000 0.0000 0.0000
123 0.0000 0.0000 0.0000
124 0.0000 0.0000 0.0000
125 0.0000 0.0000 0.0000
126 0.0000 0.0000 0.0000
127 0.0000 0.0000 0.0000
