frame depth mprob bprob
0 0.1336 0.0001 0.8927
1 0.1182 0.0002 0.8154
2 0.0970 0.0005 0.6324
3 0.0733 0.0021 0.3746
4 0.0507 0.0043 0.2115
5 0.0320 0.0008 0.1556
6 0.0183 0.0008 0.0910
7 0.0094 0.0009 0.0630
8 0.0043 0.0000 0.0172
9 0.0017 0.0003 0.0063
10 0.0006 0.0000 0.0036
11 0.0002 0.0030 0.0000
12 0.0000 0.0019 0.0036
13 0.0000 0.0013 0.0008
14 0.0000 0.0014 0.0009
15 0.0000 0.0001 0.0000
16 0.0000 0.0001 0.0000
17 0.0000 0.0001 0.0000
18 0.0000 0.0000 0.0000
19 0.0000 0.0000 0.0000
20 0.0000 0.0000 0.0000
21 0.0000 0.0000 0.0000
22 0.0000 0.0000 0.0000
23 0.0000 0.0000 0.0000
24 0.0000 0.0000 0.0000
25 0.0000 0.0020 0.0000
26 0.0000 0.0000 0.0000
27 0.0000 0.0000 0.0000
28 0.0000 0.0000 0.0000
29 0.0000 0.0000 0.0000
30 0.0000 0.0000 0.0000
31 0.0000 0.0000 0.0000
32 0.0000 0.0000 0.0000
33 0.0000 0.0000 0.0000
34 0.0000 0.0000 0.0000
35 0.0000 0.0000 0.0000
36 0.0000 0.0000 0.0000
37 0.0000 0.0000 0.0000
38 0.0000 0.0000 0.0000
39 0.0000 0.0000 0.0000
40 0.0000 0.0000 0.0000
41 0.0000 0.0000 0.0000
42 0.0000 0.0000 0.0000
43 0.0000 0.0000 0.0000
44 0.0000 0.0000 0.0000
45 0.0000 0.0000 0.0000
46 0.0000 0.0000 0.0000
47 0.0000 0.0000 0.0000
48 0.0000 0.0000 0.0000
49 0.0000 0.0026 0.0000
50 0.0000 0.0328 0.0000
51 0.0000 0.1804 0.0000
52 0.0000 0.3626 0.0000
53 0.0004 0.5238 0.0000
54 0.0016 0.7235 0.0000
55 0.0049 0.9240 0.0000
56 0.0121 0.9821 0.0000
57 0.0255 0.9856 0.0000
58 0.0469 0.9888 0.0000
59 0.0761 0.9722 0.0000
60 0.1096 0.8730 0.0000
61 0.1416 0.6204 0.0000
62 0.1664 0.3705 0.0069
63 0.1812 0.2438 0.0034
64 0.1879 0.1009 0.0072
65 0.1922 0.0331 0.0036
66 0.2010 0.0124 0.0022
67 0.2200 0.0197 0.0071
68 0.2520 0.0180 0.0014
69 0.2969 0.0070 0.0002
70 0.3527 0.0005 0.0001
71 0.4166 0.0009 0.0001
72 0.4859 0.0004 0.0001
73 0.5580 0.0004 0.0001
74 0.6305 0.0025 0.0001
75 0.7010 0.0001 0.0001
76 0.7674 0.0001 0.0001
77 0.8276 0.0001 0.0001
78 0.8795 0.0001 0.0001
79 0.9216 0.0001 0.0001
80 0.9530 0.0001 0.0001
81 0.9744 0.0001 0.0001
82 0.9875 0.0000 0.0001
83 0.9946 0.0000 0.0001
84 0.9980 0.0000 0.0001
85 0.9994 0.0000 0.0007
86 0.9999 0.0000 0.0000
87 1.0000 0.0000 0.0000
88 1.0000 0.0000 0.0000
89 1.0000 0.0000 0.0000
90 1.0000 0.0000 0.0000
91 1.0000 0.0000 0.0000
92 1.0000 0.0000 0.0000
93 1.0000 0.0000 0.0000
94 1.0000 0.0000 0.0000
95 1.0000 0.0000 0.0000
96 1.0000 0.0000 0.0000
97 1.0000 0.0000 0.0000
98 1.0000 0.0000 0.0000
99 1.0000 0.0000 0.0000
100 1.0000 0.0000 0.0000
101 1.0000 0.0000 0.0000
102 1.0000 0.0000 0.0000
103 1.0000 0.0000 0.0000
104 1.0000 0.0000 0.0000
105 1.0000 0.0000 0.0000
106 1.0000 0.0000 0.0000
107 1.0000 0.0000 0.0000
108 1.0000 0.0000 0.0015
109 1.0000 0.0000 0.0002
110 0.9999 0.0000 0.0039
111 0.9996 0.0000 0.0240
112 0.9988 0.0000 0.1322
113 0.9967 0.0000 0.6711
114 0.9922 0.0000 0.9246
115 0.9837 0.0000 0.9839
116 0.9693 0.0000 0.9973
117 0.9470 0.0000 0.9963
118 0.9146 0.0000 0.9648
119 0.8701 0.0000 0.8542
120 0.8115 0.0000 0.6175
121 0.7369 0.0000 0.2570
122 0.6452 0.0000 0.1732
123 0.5381 0.0000 0.0308
124 0.4214 0.0000 0.0109
125 0.3054 0.0000 0.0021
126 0.2020 0.0000 0.0002
127 0.1203 0.0001 0.0001
