epoch train val
1 0.2505 0.1628
2 0.0185 0.0595
3 0.0113 0.0415
4 0.0094 0.0414
5 0.0085 0.0391
6 0.0079 0.0379
7 0.0074 0.0395
8 0.0070 0.0392
9 0.0067 0.0405
10 0.0064 0.0403
11 0.0063 0.0442
12 0.0061 0.0408
13 0.0059 0.0430
14 0.0058 0.0437
15 0.0056 0.0452
16 0.0055 0.0443
