frame depth mprob bprob
0 0.9999 0.0000 0.0537
1 0.9995 0.0000 0.3001
2 0.9982 0.0000 0.7720
3 0.9947 0.0000 0.9409
4 0.9859 0.0000 0.9877
5 0.9677 0.0000 0.9955
6 0.9340 0.0000 0.9890
7 0.8780 0.0000 0.9613
8 0.7940 0.0000 0.9006
9 0.6808 0.0000 0.7030
10 0.5449 0.0000 0.1283
11 0.4010 0.0000 0.0200
12 0.2674 0.0000 0.0074
13 0.1597 0.0001 0.0025
14 0.0844 0.0001 0.0002
15 0.0389 0.0026 0.0001
16 0.0154 0.0004 0.0001
17 0.0050 0.0005 0.0001
18 0.0011 0.0071 0.0037
19 0.0000 0.0035 0.0000
20 0.0000 0.0040 0.0000
21 0.0000 0.0045 0.0000
22 0.0000 0.0026 0.0000
23 0.0000 0.0005 0.0000
24 0.0000 0.0003 0.0000
25 0.0000 0.0001 0.0000
26 0.0000 0.0002 0.0000
27 0.0000 0.0002 0.0000
28 0.0000 0.0001 0.0000
29 0.0000 0.0000 0.0000
30 0.0000 0.0000 0.0000
31 0.0000 0.0000 0.0000
32 0.0000 0.0000 0.0000
33 0.0000 0.0000 0.0000
34 0.0000 0.0000 0.0000
35 0.0000 0.0000 0.0000
36 0.0000 0.0000 0.0000
37 0.0000 0.0000 0.0000
38 0.0000 0.0000 0.0000
39 0.0000 0.0000 0.0000
40 0.0000 0.0000 0.0000
41 0.0000 0.0000 0.0000
42 0.0000 0.0000 0.0000
43 0.0000 0.0000 0.0000
44 0.0000 0.0001 0.0000
45 0.0000 0.0001 0.0000
46 0.0000 0.0000 0.0000
47 0.0000 0.0000 0.0000
48 0.0000 0.0000 0.0000
49 0.0000 0.0000 0.0000
50 0.0000 0.0000 0.0000
51 0.0000 0.0000 0.0000
52 0.0000 0.0025 0.0000
53 0.0000 0.0000 0.0000
54 0.0000 0.0000 0.0000
55 0.0000 0.0000 0.0000
56 0.0000 0.0000 0.0000
57 0.0000 0.0008 0.0000
58 0.0000 0.1485 0.0000
59 0.0002 0.5470 0.0000
60 0.0008 0.6406 0.0000
61 0.0028 0.7716 0.0000
62 0.0076 0.9410 0.0000
63 0.0177 0.9865 0.0000
64 0.0360 0.9879 0.0000
65 0.0655 0.9846 0.0000
66 0.1079 0.9739 0.0000
67 0.1635 0.8335 0.0000
68 0.2306 0.3454 0.0000
69 0.3070 0.1315 0.0001
70 0.3908 0.1072 0.0000
71 0.4809 0.0478 0.0000
72 0.5757 0.0403 0.0000
73 0.6719 0.0120 0.0000
74 0.7639 0.0011 0.0000
75 0.8443 0.0001 0.0001
76 0.9072 0.0001 0.0001
77 0.9508 0.0001 0.0002
78 0.9770 0.0001 0.0003
79 0.9908 0.0000 0.0004
80 0.9969 0.0000 0.0003
81 0.9993 0.0000 0.0003
82 1.0000 0.0000 0.0002
83 1.0000 0.0000 0.0001
84 1.0000 0.0000 0.0011
85 1.0000 0.0000 0.0000
86 1.0000 0.0000 0.0000
87 1.0000 0.0000 0.0000
88 1.0000 0.0000 0.0000
89 1.0000 0.0000 0.0000
90 1.0000 0.0000 0.0000
91 1.0000 0.0000 0.0000
92 1.0000 0.0000 0.0000
93 1.0000 0.0000 0.0000
94 1.0000 0.0000 0.0000
95 1.0000 0.0000 0.0000
96 1.0000 0.0000 0.0000
97 1.0000 0.0000 0.0000
98 1.0000 0.0000 0.0000
99 1.0000 0.0000 0.0000
100 1.0000 0.0000 0.0000
101 1.0000 0.0000 0.0000
102 1.0000 0.0000 0.0000
103 1.0000 0.0000 0.0000
104 1.0000 0.0000 0.0000
105 1.0000 0.0000 0.0002
106 1.0000 0.0000 0.0002
107 1.0000 0.0000 0.0002
108 1.0000 0.0000 0.0000
109 1.0000 0.0000 0.0000
110 1.0000 0.0000 0.0006
111 1.0000 0.0000 0.0076
112 1.0000 0.0000 0.0196
113 1.0000 0.0000 0.0223
114 1.0000 0.0000 0.0211
115 0.9998 0.0000 0.1620
116 0.9991 0.0000 0.7123
117 0.9971 0.0000 0.9298
118 0.9905 0.0000 0.9738
119 0.9755 0.0000 0.9944
120 0.9454 0.0000 0.9889
121 0.8916 0.0000 0.9689
122 0.8068 0.0000 0.9246
123 0.6893 0.0000 0.7804
124 0.5468 0.0000 0.2046
125 0.3965 0.0000 0.0331
126 0.2592 0.0000 0.0062
127 0.1509 0.0000 0.0074
