frame depth mprob bprob
0 0.1486 0.5180 0.0000
1 0.1796 0.3280 0.0000
2 0.2135 0.2369 0.0007
3 0.2490 0.1714 0.0011
4 0.2853 0.1383 0.0000
5 0.3216 0.1393 0.0000
6 0.3575 0.0861 0.0000
7 0.3930 0.0557 0.0000
8 0.4283 0.0230 0.0000
9 0.4635 0.0070 0.0001
10 0.4982 0.0017 0.0000
11 0.5324 0.0016 0.0000
12 0.5654 0.0023 0.0001
13 0.5972 0.0020 0.0003
14 0.6273 0.0008 0.0004
15 0.6556 0.0013 0.0002
16 0.6821 0.0005 0.0002
17 0.7075 0.0003 0.0002
18 0.7331 0.0004 0.0001
19 0.7596 0.0005 0.0011
20 0.7872 0.0004 0.0003
21 0.8145 0.0005 0.0002
22 0.8395 0.0003 0.0002
23 0.8607 0.0004 0.0006
24 0.8776 0.0001 0.0074
25 0.8904 0.0006 0.0424
26 0.8999 0.0028 0.2360
27 0.9065 0.0000 0.8255
28 0.9103 0.0000 0.9395
29 0.9111 0.0000 0.9878
30 0.9087 0.0000 0.9896
31 0.9030 0.0000 0.9861
32 0.8936 0.0002 0.9507
33 0.8804 0.0005 0.8284
34 0.8636 0.0000 0.6052
35 0.8431 0.0025 0.1762
36 0.8190 0.0006 0.1234
37 0.7914 0.0000 0.0670
38 0.7605 0.0000 0.0349
39 0.7265 0.0000 0.0184
40 0.6897 0.0000 0.0113
41 0.6503 0.0000 0.0236
42 0.6088 0.0000 0.0060
43 0.5654 0.0000 0.0022
44 0.5201 0.0000 0.0021
45 0.4735 0.0000 0.0035
46 0.4260 0.0001 0.0019
47 0.3785 0.0001 0.0025
48 0.3317 0.0000 0.0008
49 0.2861 0.0000 0.0030
50 0.2417 0.0000 0.0004
51 0.1988 0.0001 0.0004
52 0.1583 0.0001 0.0003
53 0.1213 0.0001 0.0003
54 0.0892 0.0002 0.0003
55 0.0630 0.0001 0.0002
56 0.0430 0.0001 0.0002
57 0.0288 0.0000 0.0002
58 0.0193 0.0000 0.0001
59 0.0131 0.0082 0.0016
60 0.0090 0.0140 0.0026
61 0.0061 0.0377 0.0053
62 0.0036 0.0700 0.0028
63 0.0017 0.1141 0.0000
64 0.0004 0.2641 0.0000
65 0.0000 0.3387 0.0000
66 0.0007 0.4612 0.0004
67 0.0024 0.6884 0.0000
68 0.0049 0.7617 0.0000
69 0.0081 0.7974 0.0000
70 0.0121 0.8276 0.0000
71 0.0173 0.8952 0.0000
72 0.0246 0.9532 0.0000
73 0.0350 0.9629 0.0000
74 0.0495 0.9639 0.0000
75 0.0686 0.9547 0.0000
76 0.0924 0.9180 0.0000
77 0.1206 0.7820 0.0000
78 0.1523 0.5820 0.0000
79 0.1866 0.3896 0.0000
80 0.2224 0.2186 0.0003
81 0.2587 0.1717 0.0009
82 0.2951 0.1577 0.0000
83 0.3311 0.1561 0.0009
84 0.3666 0.0905 0.0000
85 0.4016 0.0603 0.0000
86 0.4365 0.0222 0.0000
87 0.4712 0.0136 0.0001
88 0.5061 0.0053 0.0000
89 0.5409 0.0034 0.0000
90 0.5755 0.0034 0.0001
91 0.6099 0.0006 0.0003
92 0.6439 0.0011 0.0003
93 0.6776 0.0008 0.0002
94 0.7110 0.0006 0.0002
95 0.7437 0.0004 0.0002
96 0.7755 0.0004 0.0002
97 0.8061 0.0003 0.0004
98 0.8351 0.0004 0.0004
99 0.8625 0.0005 0.0002
100 0.8881 0.0004 0.0002
101 0.9116 0.0004 0.0001
102 0.9330 0.0024 0.0051
103 0.9521 0.0000 0.0081
104 0.9683 0.0001 0.0287
105 0.9814 0.0000 0.1161
106 0.9911 0.0044 0.5473
107 0.9973 0.0000 0.9099
108 1.0000 0.0000 0.9807
109 0.9991 0.0000 0.9893
110 0.9944 0.0000 0.9870
111 0.9856 0.0002 0.9653
112 0.9721 0.0000 0.8668
113 0.9536 0.0002 0.6109
114 0.9298 0.0000 0.3243
115 0.9003 0.0000 0.1275
116 0.8653 0.0000 0.0728
117 0.8251 0.0000 0.0390
118 0.7803 0.0000 0.0217
119 0.7318 0.0000 0.0139
120 0.6809 0.0000 0.0110
121 0.6286 0.0000 0.0022
122 0.5760 0.0000 0.0026
123 0.5237 0.0000 0.0032
124 0.4719 0.0001 0.0021
125 0.4208 0.0001 0.0023
126 0.3704 0.0001 0.0039
127 0.3208 0.0000 0.0004
