epoch train val
1 0.1065 0.0199
2 0.0274 0.0167
3 0.0227 0.0147
4 0.0209 0.0141
5 0.0198 0.0143
6 0.0190 0.0134
7 0.0183 0.0129
8 0.0177 0.0132
9 0.0172 0.0142
10 0.0167 0.0146
11 0.0163 0.0150
12 0.0159 0.0149
13 0.0156 0.0157
14 0.0152 0.0155
15 0.0149 0.0169
16 0.0146 0.0168
17 0.0144 0.0161
